# E           ff_avg(e=0)   ff_avg(e=1)   ff_avg(e=2)   ff_avg(e=3)   ff_avg(e=4)   ff_avg(e=5)   ff_avg(e=6)   ff_avg(e=7)   ff_avg(e=8)   ff_avg(e=9) 
1.818182e+00  1.535233e+00  1.519341e+00  1.502962e+00  1.434127e+00  1.414939e+00  1.389621e+00  1.356062e+00  1.336294e+00  1.292359e+00  1.346954e+00
1.830303e+00  1.531943e+00  1.515991e+00  1.499571e+00  1.430572e+00  1.411342e+00  1.385982e+00  1.352382e+00  1.332628e+00  1.288627e+00  1.343269e+00
1.842424e+00  1.528763e+00  1.512750e+00  1.496289e+00  1.427117e+00  1.407844e+00  1.382442e+00  1.348799e+00  1.329059e+00  1.284988e+00  1.339678e+00
1.854545e+00  1.525695e+00  1.509619e+00  1.493117e+00  1.423762e+00  1.404445e+00  1.378999e+00  1.345313e+00  1.325585e+00  1.281445e+00  1.336182e+00
1.866667e+00  1.522738e+00  1.506599e+00  1.490054e+00  1.420508e+00  1.401146e+00  1.375656e+00  1.341926e+00  1.322208e+00  1.277996e+00  1.332782e+00
1.878788e+00  1.519893e+00  1.503689e+00  1.487101e+00  1.417354e+00  1.397947e+00  1.372412e+00  1.338637e+00  1.318927e+00  1.274643e+00  1.329477e+00
1.890909e+00  1.517160e+00  1.500890e+00  1.484259e+00  1.414302e+00  1.394848e+00  1.369267e+00  1.335446e+00  1.315744e+00  1.271385e+00  1.326268e+00
1.903030e+00  1.514540e+00  1.498203e+00  1.481527e+00  1.411351e+00  1.391850e+00  1.366222e+00  1.332355e+00  1.312658e+00  1.268224e+00  1.323155e+00
1.915152e+00  1.512033e+00  1.495628e+00  1.478906e+00  1.408502e+00  1.388953e+00  1.363278e+00  1.329364e+00  1.309669e+00  1.265159e+00  1.320140e+00
1.927273e+00  1.509639e+00  1.493165e+00  1.476397e+00  1.405756e+00  1.386158e+00  1.360434e+00  1.326472e+00  1.306780e+00  1.262191e+00  1.317221e+00
1.939394e+00  1.507360e+00  1.490815e+00  1.474000e+00  1.403113e+00  1.383465e+00  1.357692e+00  1.323681e+00  1.303988e+00  1.259321e+00  1.314401e+00
1.951515e+00  1.505195e+00  1.488578e+00  1.471715e+00  1.400573e+00  1.380875e+00  1.355051e+00  1.320991e+00  1.301297e+00  1.256548e+00  1.311679e+00
1.963636e+00  1.503145e+00  1.486456e+00  1.469544e+00  1.398137e+00  1.378387e+00  1.352513e+00  1.318402e+00  1.298705e+00  1.253874e+00  1.309055e+00
1.975758e+00  1.501211e+00  1.484447e+00  1.467486e+00  1.395805e+00  1.376003e+00  1.350078e+00  1.315916e+00  1.296213e+00  1.251299e+00  1.306531e+00
1.987879e+00  1.499392e+00  1.482553e+00  1.465542e+00  1.393579e+00  1.373724e+00  1.347746e+00  1.313531e+00  1.293822e+00  1.248824e+00  1.304106e+00
2.000000e+00  1.497691e+00  1.480775e+00  1.463713e+00  1.391457e+00  1.371549e+00  1.345517e+00  1.311250e+00  1.291532e+00  1.246448e+00  1.301782e+00
